ఆఫ్రికా	Africa
దంత క్షయం	Dental caries
ప్లేగు	Plague (disease)
పార్శ్వపు తలనొప్పి	Migraine
వివర్తనం	Diffraction
యాంటి ఆక్సిడెంట్	Antioxidant
జిహోలార్నిస్	Jeholornis
కొరినీబాక్టీరియమ్	Corynebacterium
ప్రధమచికిత్స	First aid
అంగస్తంభన	Erection
రాచెల్ వీజ్	Rachel Weisz
సొలనేసి	Solanaceae
మాజిక్ జాన్సన్	Magic Johnson
బ్యుటేన్	Butane
టూత్ బ్రష్	Toothbrush
పోలో	Polo
కాండం	Plant stem
ధర్మము	Dharma
వృశ్చిక రాశి	Scorpio (astrology)
న్యూటన్ విశ్వగురుత్వాకర్షణ సిద్ధాంతం	Newton's law of universal gravitation
అజాక్స్ (ప్రోగ్రామింగ్)	Ajax (programming)
తక్కెడ	Weighing scale
పంపు	Pump
పరాగసంపర్కము	Pollination
టర్రిటోప్సిస్ నూట్రికోలా	Turritopsis nutricula
మార్టినా హింగిస్	Martina Hingis
టీకా	Vaccine
కార్బాక్సిలిక్ ఆమ్లం	Carboxylic acid
కోరింత దగ్గు	Pertussis
క్విన్ ఆఫ్ ఆండీస్	Puya raimondii
లాలాజల గ్రంధులు	Salivary gland
ఏడాకుల చెట్టు	Alstonia scholaris
సెలాస్ట్రేసి	Celastraceae
ఒల్మెక్ నాగరికత	Olmec
రషోమాన్	Rashomon
భారతదేశ అధికారిక భాషలు	Languages of India
అగ్ని శ్వాస	Fire breathing
ఖాదరియా	Qadiriyya
చిష్తియా	Chishti Order
తెల్లబూరుగ	Ceiba pentandra
యుగాంతం	2012 phenomenon
స్వేచ్ఛా పతనం	Free fall
గోల్డ్ కోస్ట్, క్వీన్స్‌‌ల్యాండ్	Gold Coast, Queensland
సొక్రాటియా ఎక్సోర్హిజా	Socratea exorrhiza
సంఖ్యాశాస్త్రము	Numerology
ఆర్యభటుని సంఖ్యాపద్ధతి	Āryabhaṭa numeration
ఎన్క్రిప్షన్	Encryption
పట్టభద్రుడు	Postgraduate education
అగ్ని క్షిపణులు	Agni (missile)
సూది	Sewing needle
పేకాట	Card game
పాలిథిలిన్	Polyethylene
గున్నంగి	Salvadora persica
డెంటల్ ఇంప్లాంట్	Dental implant
ముద్రణా యంత్రం	Printing press
మహా శ్వేతాదేవి	Mahasweta Devi
భారతీయ నాగ జెముడు	Opuntia ficus-indica
హెర్బర్ట్ స్పెన్సర్	Herbert Spencer
పెపావరేసి	Papaveraceae
జాకిర్ హుసేన్	Zakir Hussain (politician)
పైసమ్	Pisum
దక్షిణాసియా ప్రాంతీయ సహకార మండలి	South Asian Association for Regional Cooperation
కన్వాల్వులేసి	Convolvulaceae
అంబెల్లిఫెరె	Apiaceae
రానన్కులేసి	Ranunculaceae
రూటేసి	Rutaceae
గోదురు కప్ప	Common toad
కామంచి	Solanum nigrum
బ్రాందీ	Brandy
శిక్షాస్మృతి	Criminal law
ద్రావణం	Solvent
సొలానమ్	Solanum
యుఫోర్బియా	Euphorbia
నింఫియా	Nymphaea
గుర్‌దాస్‌పూర్	Gurdaspur district
తనుజ	Tanuja
2002 ఆయిలర్	2002 Euler
దేవదారు	Cedrus deodara
తెల్ల కలువ	Nymphaea alba
చేదు నారింజ	Bitter orange
హౌ ఐ మెట్ యువర్ మదర్	How I Met Your Mother
అనానాస్	Ananas
కాజోల్	Kajol
కన్వాల్వులస్	Convolvulus
కోలా పానీయాలు	Soft drink
బంతిపువ్వు	Tagetes
చాపం	Arc (geometry)
సుబ్రహ్మణ్య చంద్రశేఖర్	Subrahmanyan Chandrasekhar
ఓషో	Rajneesh
నక్షత్రశాల	Planetarium
ఇంద్రజాలం	Magic (illusion)
అండాశయం (మొక్కలు)	Ovary (botany)
అత్తిపత్తి	Mimosa pudica
కంచె	Fence
పూతకొమ్మ	Panicle
కబడ్డీ	Kabaddi
నింఫియేసి	Nymphaeaceae
కుకుమిస్	Cucumis
టైఫేసి	Typhaceae
పాట్ బుకానన్	Pat Buchanan
గురుదత్	Guru Dutt
సంస్థాగత నడవడిక	Organizational theory
సమాచార ఉపగ్రహము	Communications satellite
మాదీఫలం	Citron
హెక్సేను	Hexane
జార్జ్ కార్లిన్	George Carlin
ఆక్టేన్	Octane
ప్లేబోయ్	Playboy
ఫ్రాంకెన్‌స్టెయిన్	Frankenstein
సాల్మొనెల్లా	Salmonella
చోళ సామ్రాజ్యము	Chola dynasty
సింహిక	Sphinx
సోనియా దీప్తి	Sonia Deepti
కంద	Amorphophallus paeoniifolius
ఫ్రెడెరిక్ సాంజెర్	Frederick Sanger
వాయు పురాణము	Vayu Purana
వికీపీడియా:దిద్దుబాట్లు ఎలా చెయ్యాలి	Help:Editing
తమన్నా	Tamannaah
బిపి	BP
ఫ్రెంచ్ ఫ్రైస్	French fries
టాటా నానో	Tata Nano
తుఫాను నర్గిస్	Cyclone Nargis
నోరు మరియు కాలి వ్యాధి	Foot-and-mouth disease
ఆల్వా మిర్థాల్	Alva Myrdal
గున్నార్ మిర్థాల్	Gunnar Myrdal
బహుమతి ప్రదాత	Sponsor (commercial)
రవికె	Blouse
లైఫ్ అఫ్ పై	Life of Pi (film)
ఫ్రూట్ సలాడ్	Fruit salad
కొరడా	Whip
జట్రోఫా	Jatropha
ఇన్గ్లోరియస్ బాస్టర్డ్స్ (2005)	Inglourious Basterds
కాట్ స్టీవెన్స్	Cat Stevens
2000వ దశకం చివర్లో మాంద్యం	Great Recession
బావికొండ	Bavikonda
ఇటాలో కాల్వినో	Italo Calvino
నార్మన్ బోర్లాగ్	Norman Borlaug
ఇమ్రాన్ ఖాన్ నియాజి	Imran Khan
వోయెజర్	Voyager
చిదంబరం	Chidambaram
మొక్కల నర్సరీ	Plant nursery
సెసేమ్ స్ట్రీట్	Sesame Street
స్థితిశక్తి	Potential energy
వీలునామా	Will and testament
కంపాన్యులేసి	Campanulaceae
డయోనియా	Venus flytrap
గన్నేరు	Nerium
సైపరేసి	Cyperaceae
చినువ అచెబె	Chinua Achebe
ఆముదము	Castor oil plant
భారజలం	Heavy water
ఎకోనిటమ్	Aconitum
లాలాజలం	Saliva
అమరాంథేసి	Amaranthaceae
ఇరిడేసి	Iridaceae
జిరానియేసి	Geraniaceae
బెర్బెరిడేసి	Berberidaceae
లైనేసి	Linaceae
టెనొఫవిర్	Tenofovir
లైత్రేసి	Lythraceae
హైడ్రోకారిడే	Hydrocharitaceae
వయోలేసి	Violaceae
నేత్ర కోటరం	Orbit (anatomy)
రామ్నేసి	Rhamnaceae
తక్షశిల	Taxila
అల్ఫాల్ఫా	Alfalfa
ప్లంబజినేసి	Plumbaginaceae
డ్రోసిరేసి	Droseraceae
గ్లాడియోలస్	Gladiolus
అరిస్టోలోకియా	Aristolochia
పింఛను	Pension
నిక్టాజినేసి	Nyctaginaceae
మన్నా డే	Manna Dey
యుక్కా	Yucca
కారణ శాస్త్రం	Etiology
జె.బి.ఎస్‌. హాల్డేన్‌	J. B. S. Haldane
లెవీ స్ట్రాస్	Levi Strauss
తోటకూర	Amaranth
లతా మంగేష్కర్	Lata Mangeshkar
సర్వేపల్లి రాధాకృష్ణన్	Sarvepalli Radhakrishnan
కాఫియా	Coffea
ఆర్టిమీసియా	Artemisia (genus)
అరిస్టోలోకియేసి	Aristolochiaceae
సాదత్ హసన్ మంటో	Saadat Hasan Manto
పైపరేసి	Piperaceae
మూసేసి	Musaceae
బ్రొమిలియేసి	Bromeliaceae
డిజిటాలిస్	Digitalis
రబ్బరు చెట్టు	Hevea brasiliensis
ఆగ్జాలిడేసి	Oxalidaceae
మాల్వేసి	Malvaceae
మిర్టేసి	Myrtaceae
రూబియేసి	Rubiaceae
థియేసి	Theaceae
మోరేసి	Moraceae
యుఫోర్బియేసి	Euphorbiaceae
అనకార్డియేసి	Anacardiaceae
కుసుమ	Safflower
కారికేసి	Caricaceae
ముహమ్మద్ రఫీ	Mohammed Rafi
పియూష గ్రంధి	Pituitary gland
బ్రాసికేసి	Brassicaceae
ఇంగ్లీష్ విల్లో	Salix alba
వెర్బినేసి	Verbenaceae
పోకచెట్టు	Areca catechu
కాగితంపూలు	Bougainvillea
సమబాహు త్రిభుజం	Equilateral triangle
హానిమాన్	Samuel Hahnemann
ప్యూమా ఏజీ	Puma SE
హైబిస్కస్	Hibiscus
సాల్వియా	Salvia
ఆస్పరాగేసి	Asparagaceae
లాథిరస్	Lathyrus
జెన్షియనేసి	Gentianaceae
నికోబార్ జిల్లా	Nicobar Islands
గుడ్‌విల్‌ (అకౌంటింగ్‌)	Goodwill (accounting)
జోసెఫ్ డాల్టన్ హుకర్	Joseph Dalton Hooker
మార్టిన్ లూథర్ 95 చర్చనీయాంశాలు	The Ninety-Five Theses
సంరక్షకుడు (లీగల్)	Legal guardian
నిశ్చితార్థం	Engagement
చార్లెస్ లూసిన్ బొనపార్టే	Charles Lucien Bonaparte
ద బాయ్ ఇన్ ద స్ట్రిప్డ్ పైజమాస్	The Boy in the Striped Pyjamas (film)
శ్మశానం	Crematory
జుబిన్ మెహతా	Zubin Mehta
ఫరీదా జలాల్	Farida Jalal
వస	Acorus calamus
టబు (నటి)	Tabu (actress)
బిందు (నటి)	Bindu (actress)
గ్వాలియర్	Gwalior
ఎరుపుమణిచెట్టు	Berberis vulgaris
బెగోనియా	Begonia
ఫైసాలిస్	Physalis
పురీషనాళం	Rectum
బ్రహ్మ మల్లిక	Adansonia digitata
జుహీ చావ్లా	Juhi Chawla
ప్రియాంక చోప్రా	Priyanka Chopra
మెలియేసి	Meliaceae
సపోటేసి	Sapotaceae
హనుమ ఫలం	Annona cherimola
నాగజెముడు	Opuntia
విద్యా బాలన్	Vidya Balan
నర్గిస్ దత్	Nargis
దీపిక పడుకోన్	Deepika Padukone
కొండముచ్చు	Baboon
నక్షత్ర ఫలం చెట్టు	Averrhoa carambola
ఆహారపు గొలుసు	Food chain
తమలపాకు	Betel
మందార	Hibiscus rosa-sinensis
కుట్ర సిద్ధాంతం	Conspiracy theory
పైపర్	Piper (genus)
జెట్ లీ	Jet Li
ఎక్సైజ్ సుంకం	Excise
దూర విద్య	Distance education
అన్నపూర్ణ శిఖరం	Annapurna
జోసెఫ్ ప్రీస్ట్‌లీ	Joseph Priestley
